object_name,object_type,current_status,source_script,current_location,recommended_location,decision_reason,linked_reproducibly
tab_regime_oversight,table,in_paper,scripts/07_heterogeneity.R,sec_appendix_v15 (app B.3),main §6.3 (heterogeneity in monitoring environment),"Buyer-size quartile gradient. Under JLEO frame this is heterogeneity in the detection regime — promote to main with reframed labels (already cleaned).",no
tab_mccrary,table,in_paper,scripts/02_analysis.R + 13_rdd_cap.R,sec_appendix_v15,appendix,"McCrary density test rejecting bunching at convite cap. Standard appendix.",no
tab_conditional_descstats,table,in_paper,scripts/03_tables.R,sec_appendix_v15,appendix,"Descriptive stats by FL presence under FE. Appendix.",no
fig_01_losses_distribution,figure,in_paper,scripts/04_figures.R + 41_fix_figures.R,sec_appendix_v15,appendix,"Distribution of always-loser participation counts. Standard appendix figure.",N/A (figure)
fig_02_iqr_identification,figure,in_paper,scripts/04_figures.R + 41_fix_figures.R,sec_appendix_v15,main §3 (theory operationalization),"IQR cutoff identification. Under JLEO frame becomes part of the operationalization figure showing how the participation primitive is read from the distribution. PROMOTE.",N/A (figure)
tab_bajari_ye,table,in_repo_unused,scripts/02_analysis.R + legacy,N/A,DROP,"Bajari–Ye-style framework table from older draft. Conflicts with current narrative.",N/A
tab_bajari_ye_firststage,table,in_repo_unused,legacy,N/A,DROP,"Same family.",N/A
tab_bajari_ye_placebo,table,in_repo_unused,legacy,N/A,DROP,"Same family.",N/A
tab_bajari_ye_tender_fe,table,in_repo_unused,legacy,N/A,DROP,"Same family.",N/A
tab_iv_main,table,in_repo_unused,legacy,N/A,DROP,"Old IV framework; current draft uses leave-one-out IV only as diagnostic.",N/A
tab_iv_main_panelc,table,in_repo_unused,legacy,N/A,DROP,"Same.",N/A
tab_iv_first_stage,table,in_repo_unused,legacy,N/A,DROP,"Same.",N/A
tab_iv_balance,table,in_repo_unused,legacy,N/A,DROP,"Same.",N/A
tab_iv_network_split,table,in_repo_unused,scripts/19_network_heterogeneity_2d.R,N/A,DROP or appendix,"Network-split IV. Niche; only consider if reviewer asks.",N/A
tab_network_interactions,table,in_repo_unused,scripts/19_network_heterogeneity_2d.R,N/A,DROP,"Network heterogeneity; cell results too thin.",N/A
tab_network_split,table,in_repo_unused,scripts/19_network_heterogeneity_2d.R,N/A,DROP,"Same.",N/A
tab_fl_network_summary,table,in_repo_unused,legacy,N/A,DROP,"Network descriptive; not used.",N/A
tab_dyadic_permutation,table,in_repo_unused,legacy,N/A,DROP,"Permutation diagnostic; superseded by 25_sham_fl_permutation.",N/A
tab_cox_survival,table,in_repo_unused,legacy,N/A,DROP,"Cox survival on FL exit; not load-bearing under JLEO.",N/A
tab_external_validity_scope,table,in_repo_unused,scripts/52_external_validity_scope.R,N/A,appendix (optional),"Cross-sector replication scope. Could anchor §10.3 portability claim. CONSIDER.",N/A
tab_homogeneous_cv,table,in_repo_unused,scripts/22_continuous_vs_binary.R,N/A,DROP,"Within-tender bid CV on homogeneous subsample; overlaps tab_imhof_full message.",N/A
tab_homogeneous_subsample,table,in_repo_unused,legacy,N/A,DROP,"Same.",N/A
tab_fl_crossfit,table,in_repo_unused,legacy,N/A,DROP,"Old cross-fit reporting; cross-fit estimate now appears inline in §6.",N/A
tab_fl_lowwinrate,table,in_repo_unused,legacy,N/A,DROP,"Sensitivity to win-rate threshold. Could revive only if a referee asks.",N/A
tab_fl_temporal,table,in_repo_unused,legacy,N/A,DROP,"FL temporal stability; tab_strict_train_threshold now covers this.",N/A
tab_gate_diagnostics,table,in_repo_unused,scripts/36–39 (gate D1–D4),N/A,appendix (transparency),"Gate D1–D4 diagnostics from JLEO/JLE decision. Could appear in an appendix note ""design diagnostics"" if author wants full transparency.",N/A
tab_matched_first_time,table,in_repo_unused,scripts/30_first_time_fl_matching.R,N/A,appendix C,"First-time-FL matching. Reported in §8.3 prose; could pull into appendix table if §8.3 stays.",N/A
tab_matching,table,in_repo_unused,scripts/09_matching.R,N/A,DROP,"Older CEM/IPW table; overlapped by tab_item_level_scope_match.",N/A
tab_mechanisms,table,in_repo_unused,legacy,N/A,DROP,"Old mechanism summary; not aligned with current §8.",N/A
tab_nbids,table,in_repo_unused,scripts/02_analysis.R,N/A,appendix (auxiliary outcomes),"Auxiliary DV (number of bids). Could anchor a short auxiliary-outcomes appendix.",N/A
tab_nfirms,table,in_repo_unused,scripts/02_analysis.R,N/A,appendix (auxiliary outcomes),"Same family — number of firms.",N/A
tab_nfirms_excl,table,in_repo_unused,scripts/02_analysis.R,N/A,appendix (auxiliary outcomes),"Number of non-FL firms.",N/A
tab_predictions_findings,table,in_repo_unused,manual + scripts 31–46,N/A,main §3 or §7 closing,"Maps theory propositions to empirical findings. Under JLEO frame becomes the bridge between theory section and evidence; CONSIDER promoting.",N/A
tab_robustness_summary_inline,table,in_repo_unused,legacy,N/A,DROP,"Inline robustness summary; superseded by individual robustness tables.",N/A
tab_stratum_scope,table,in_repo_unused,scripts/48_stratum_scope_reframe.R,N/A,main §6.2 supporting (or appendix),"Stratum-scope reframe: shows how AUC/coefficient depends on the always-loser stratum boundary. Could supplement the sign-reversal discussion.",N/A
tab_structural_modal,table,in_repo_unused,scripts/55_structural_modal_split.R,N/A,appendix,"Structural decomposition by modality.",N/A
tab_threshold_q3iqr,table,in_repo_unused,scripts/54_threshold_table_q3iqr.R,N/A,appendix B (with tab_threshold_robustness),"Tukey-Q3 alternative threshold; already cited in §4.2 footnote. Could pull as appendix table.",N/A
tab_tighter_controls,table,in_repo_unused,legacy,N/A,DROP,"Older tightening exercise; superseded by current FE structure.",N/A
tab_unified_mechanism,table,in_repo_unused,scripts/35_unified_mechanism.R,N/A,DROP,"Unified mechanism table; redundant with §8.",N/A
tab_unrestricted_sample,table,in_repo_unused,legacy,N/A,appendix or DROP,"Coefficient on full unrestricted sample (referenced inline in §4.3).",N/A
tab_welfare_bounds,table,in_repo_unused,scripts/45_legacy_m1m3_perm_welfare.R + 44_consolidate_v8_csvs.R,N/A,DROP,"Welfare bounds. Operational/managerial framing — incompatible with JLEO frame.",N/A
tab_regime_test,table,in_repo_unused,scripts/05_robustness.R,N/A,DROP,"Old regime test; superseded.",N/A
tab_cade_permutation,table,in_repo_unused,scripts/25_sham_fl_permutation.R,N/A,appendix C,"Permutation test for CADE-cobidder rate (provides p<0.001 baseline). CONSIDER appendix as validation rigor.",N/A
fig_03_coef_summary,figure,in_repo_unused,scripts/04_figures.R + 41_fix_figures.R,N/A,DROP,"Coefficient summary figure; superseded by tab_prices.",N/A
fig_05_regime_boxplot,figure,in_repo_unused,scripts/04_figures.R,N/A,DROP,"Regime boxplot; not used.",N/A
fig_06_event_study,figure,in_repo_unused,scripts/06_did_temporal.R,N/A,appendix (with DiD tables),"Event study from staggered DiD. Bundle with appendix DiD section.",N/A
fig_06_cs_event_study_price,figure,in_repo_unused,scripts/06_did_temporal.R,N/A,appendix (with DiD tables),"Callaway–Sant'Anna event study, price.",N/A
fig_06_cs_event_study_nfirms_excl,figure,in_repo_unused,scripts/06_did_temporal.R,N/A,appendix,"Callaway–Sant'Anna event study, n_firms_excl.",N/A
fig_07_threshold_stability,figure,in_repo_unused,scripts/04_figures.R + 18_threshold_heatmap_2d.R,N/A,appendix B,"Threshold stability across multipliers. Could replace tab_threshold_robustness.",N/A
fig_08_sensitivity_contour,figure,in_repo_unused,scripts/04_figures.R + 02_analysis.R,N/A,appendix (Cinelli),"Cinelli sensitivity contour. Could replace prose mention of RV_q=1.",N/A
fig_09_welfare_markup,figure,in_repo_unused,legacy,N/A,DROP,"Welfare-markup. Incompatible with JLEO frame.",N/A
fig_10_year_coefficients,figure,in_repo_unused,legacy,N/A,DROP,"Year-by-year coefficients; redundant with main §6.",N/A
fig_11_network_split,figure,in_repo_unused,scripts/19_network_heterogeneity_2d.R,N/A,DROP,"Network split.",N/A
fig_12_fl_definition_robustness,figure,in_repo_unused,scripts/04_figures.R,N/A,appendix B,"FL definition robustness; complements tab_threshold_robustness.",N/A
fig_14_oversight_heterogeneity,figure,in_repo_unused,scripts/04_figures.R,N/A,main §6.3 (with tab_regime_oversight),"PBU-quartile oversight gradient figure. PROMOTE alongside tab_regime_oversight.",N/A
fig_density_shift,figure,in_repo_unused,scripts/13_rdd_cap.R,N/A,appendix (with tab_mccrary),"Density shift around convite cap. Bundle with McCrary table.",N/A
fig_first_stage_binscatter,figure,in_repo_unused,scripts/02_analysis.R,N/A,appendix (with tab_iv_placebo),"First-stage binscatter for the leave-one-out IV.",N/A
fig_km_fl_exposure,figure,in_repo_unused,legacy,N/A,DROP,"Kaplan–Meier on FL exposure. Survival angle not used.",N/A
fig_network_graph,figure,in_repo_unused,scripts/19_network_heterogeneity_2d.R,N/A,DROP,"Network graph; visual filler.",N/A
fig_network_hhi,figure,in_repo_unused,scripts/19_network_heterogeneity_2d.R,N/A,DROP,"Network HHI; not used.",N/A
fig_regime_densities,figure,in_repo_unused,scripts/13_rdd_cap.R,N/A,appendix,"Regime densities; bundle with tab_mccrary.",N/A
fig_threshold_heatmap,figure,in_repo_unused,scripts/18_threshold_heatmap_2d.R,N/A,appendix B,"2D threshold heatmap (cutoff × win-rate). Useful appendix transparency.",N/A
fig_welfare_heatmap,figure,in_repo_unused,scripts/45_legacy_m1m3_perm_welfare.R,N/A,DROP,"Welfare heatmap; incompatible with JLEO frame.",N/A
values.tex,macro_file,in_paper,scripts/99_make_paper_values.R,sourced from paper main + appendix,kept,"495 \newcommand{} macros. Spine of reproducibility. Extend to 100% of cells in JLEO version.",yes
values_adversarial.tex,macro_file,in_paper,scripts/55_adversarial_adaptation.R,sourced from paper main + appendix,kept,"15 macros for adversarial-adaptation appendix.",yes
